eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
413.25,21.59,286.64,13.17
404.50,14.71,277.54,10.21
404.76,15.16,277.72,9.78
403.03,16.28,277.54,9.25
404.68,14.94,277.66,8.97
335.11,13.52,276.06,10.15
332.18,12.35,277.56,8.45
403.02,16.02,277.54,8.46
404.50,15.88,277.54,6.78
264.37,12.12,277.66,7.17
403.00,17.49,0.00,0.00
404.50,17.08,0.00,0.00
404.90,15.04,0.00,0.00
333.66,16.35,0.00,0.00
404.57,14.53,0.00,0.00
332.17,11.69,0.00,0.00
332.16,14.29,0.00,0.00
332.17,13.79,0.00,0.00
404.51,13.09,0.00,0.00
404.55,16.47,0.00,0.00
404.66,12.81,0.00,0.00
403.03,14.86,0.00,0.00
404.68,15.74,0.00,0.00
404.81,16.13,0.00,0.00
403.05,18.35,0.00,0.00
404.49,16.65,0.00,0.04
404.49,11.81,0.00,0.04
335.12,12.89,0.00,0.04
404.51,15.25,0.00,0.04
404.82,13.57,0.00,0.04
403.02,15.48,0.00,0.04
404.51,13.06,0.00,0.00
333.64,13.79,0.00,0.04
404.93,15.41,0.00,0.04
403.03,15.36,0.00,0.04
404.48,14.21,0.00,0.00
404.51,15.63,0.00,0.00
404.53,15.47,0.00,0.00
403.03,13.83,0.00,0.00
404.50,16.66,0.00,0.00
403.04,16.04,0.00,0.04
333.95,13.02,0.00,0.04
404.53,15.68,0.00,0.04
403.03,14.97,0.00,0.00
404.66,16.07,0.00,0.00
404.50,16.35,0.00,0.00
404.54,15.26,0.00,0.00
