eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
594.38,21.76,130.17,6.93
594.93,16.30,116.62,4.89
594.90,14.50,118.10,5.61
594.94,16.33,116.63,4.28
594.97,16.73,118.11,4.76
594.96,18.91,116.63,3.10
593.86,16.04,118.18,4.06
594.93,14.50,116.62,3.79
594.89,14.57,116.62,4.35
595.29,18.92,118.17,3.18
565.48,14.45,0.00,0.00
594.98,18.82,0.00,0.00
594.99,15.80,0.00,0.00
595.02,17.29,0.00,0.00
594.98,14.58,0.00,0.00
594.92,17.62,0.00,0.00
594.95,14.58,0.00,0.00
594.97,16.72,0.00,0.00
594.96,18.37,0.00,0.00
594.97,16.23,0.00,0.00
594.97,20.23,0.00,0.00
594.97,15.65,0.00,0.00
594.97,14.50,0.00,0.00
594.97,19.14,0.00,0.00
595.10,16.14,0.00,0.00
594.06,15.46,0.00,0.04
594.95,17.02,0.00,0.04
594.95,18.58,0.00,0.04
594.98,18.70,0.00,0.04
594.94,18.78,0.00,0.04
594.94,15.44,0.00,0.04
595.08,18.19,0.00,0.00
594.95,15.77,0.00,0.04
