eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
510.72,26.78,348.28,15.57
411.83,20.85,338.03,18.37
435.55,18.18,339.58,11.11
476.84,20.42,338.07,12.45
503.61,20.83,338.20,12.21
502.11,19.99,339.66,9.98
502.22,20.44,338.26,12.23
349.85,13.93,338.04,11.85
258.33,9.64,339.52,13.32
502.26,21.08,336.81,11.38
501.96,20.09,0.00,0.00
212.58,9.43,0.00,0.00
490.11,20.24,0.00,0.00
411.92,17.89,0.00,0.00
501.94,21.08,0.00,0.00
501.94,20.96,0.00,0.00
501.91,19.80,0.00,0.00
411.89,19.61,0.00,0.00
503.36,19.76,0.00,0.00
412.08,18.33,0.00,0.00
211.11,8.23,0.00,0.00
53.18,1.89,0.00,0.00
502.20,20.67,0.00,0.00
502.19,20.31,0.00,0.00
502.30,16.70,0.00,0.00
463.73,19.37,0.00,0.04
501.94,21.12,0.00,0.04
312.99,13.00,0.00,0.04
413.49,16.43,0.00,0.04
502.21,21.44,0.00,0.04
501.93,21.65,0.00,0.04
501.94,22.09,0.00,0.00
502.36,20.70,0.00,0.04
392.70,16.36,0.00,0.04
339.57,13.65,0.00,0.04
416.36,17.66,0.00,0.00
469.43,19.26,0.00,0.00
444.34,18.84,0.00,0.00
501.93,22.50,0.00,0.00
411.85,15.59,0.00,0.00
501.96,22.55,0.00,0.04
