eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
487.95,24.21,176.45,8.43
605.30,28.41,206.69,8.01
606.80,24.44,206.69,5.05
605.32,22.99,208.17,6.79
605.29,25.11,206.68,8.04
605.76,22.65,206.85,5.75
605.31,27.44,208.17,6.01
499.02,19.52,206.69,5.05
605.28,21.34,206.68,5.05
605.29,23.15,206.68,5.91
380.92,17.35,0.00,0.00
498.99,20.43,0.00,0.00
605.28,22.77,0.00,0.00
494.52,20.10,0.00,0.00
605.26,20.19,0.00,0.00
493.10,20.60,0.00,0.00
547.88,22.09,0.00,0.00
549.23,23.26,0.00,0.00
496.04,22.68,0.00,0.00
605.28,23.42,0.00,0.00
606.74,22.02,0.00,0.00
605.32,18.61,0.00,0.00
605.26,25.44,0.00,0.00
605.29,26.15,0.00,0.00
605.33,24.59,0.00,0.00
606.78,22.93,0.00,0.04
493.08,20.48,0.00,0.04
605.36,22.60,0.00,0.04
606.77,26.41,0.00,0.04
605.32,24.04,0.00,0.04
494.56,19.34,0.00,0.04
605.29,22.71,0.00,0.00
605.29,23.10,0.00,0.04
