eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
441.29,19.55,0.00,0.08
435.49,19.27,323.46,13.88
434.13,13.94,316.00,9.70
434.16,14.15,316.02,10.28
434.22,13.23,314.59,11.04
434.26,12.40,316.09,9.51
434.18,13.66,314.56,11.29
434.18,13.92,316.03,10.09
434.03,12.24,261.31,9.72
434.05,14.64,314.47,7.72
434.02,14.42,0.00,0.00
433.94,16.80,0.00,0.00
434.03,13.90,0.00,0.00
434.03,13.89,0.00,0.00
434.01,16.51,0.00,0.00
435.45,12.74,0.00,0.00
434.25,12.41,0.00,0.00
434.23,11.87,0.00,0.00
434.18,13.89,0.00,0.00
434.20,14.54,0.00,0.00
434.20,13.38,0.00,0.00
434.22,15.20,0.00,0.00
434.19,13.79,0.00,0.00
434.04,13.74,0.00,0.00
434.10,15.18,0.00,0.00
433.99,15.42,0.00,0.04
434.02,15.87,0.00,0.04
433.99,13.45,0.00,0.04
434.02,13.49,0.00,0.04
434.05,11.48,0.00,0.04
435.47,14.65,0.00,0.04
434.15,10.75,0.00,0.00
434.21,13.51,0.00,0.04
434.06,15.44,0.00,0.04
434.03,14.42,0.00,0.04
434.07,13.45,0.00,0.00
433.99,13.41,0.00,0.00
434.01,14.33,0.00,0.00
434.03,13.75,0.00,0.00
434.13,15.87,0.00,0.00
434.03,15.20,0.00,0.04
435.46,14.02,0.00,0.04
