eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.08,0.00,0.00
283.69,14.60,570.55,27.35
273.31,8.93,571.74,24.15
274.57,10.37,569.81,21.05
273.12,12.13,465.04,17.43
273.13,10.30,571.35,21.75
274.60,10.67,569.87,22.89
274.59,10.41,571.33,24.35
273.11,13.02,569.83,18.96
271.86,8.68,465.41,20.03
240.64,9.40,0.00,0.00
273.12,10.25,0.00,0.00
274.58,8.93,0.00,0.00
273.12,12.67,0.00,0.00
227.35,8.97,0.00,0.00
273.22,10.10,0.00,0.00
274.61,9.09,0.00,0.00
273.12,10.54,0.00,0.00
231.78,11.15,0.00,0.00
230.30,10.19,0.00,0.00
230.30,9.64,0.00,0.00
237.68,9.54,0.00,0.00
273.11,9.04,0.00,0.00
110.72,5.75,0.00,0.00
274.64,11.60,0.00,0.00
273.12,9.91,0.00,0.04
274.59,10.31,0.00,0.04
273.10,10.06,0.00,0.04
107.77,4.67,0.00,0.04
274.61,11.03,0.00,0.04
273.12,11.47,0.00,0.04
274.59,9.83,0.00,0.00
227.54,7.73,0.00,0.04
273.12,11.98,0.00,0.04
273.12,9.30,0.00,0.04
222.92,9.34,0.00,0.00
242.10,11.54,0.00,0.00
273.12,8.77,0.00,0.00
217.02,9.12,0.00,0.00
75.28,3.90,0.00,0.00
271.86,11.97,0.00,0.04
273.11,10.77,0.00,0.04
274.57,9.56,0.00,0.04
233.22,10.82,0.00,0.00
183.08,7.81,0.00,0.00
112.22,5.08,0.00,0.00
228.83,11.29,0.00,0.00
227.35,9.44,0.00,0.00
274.60,10.72,0.00,0.00
273.12,9.11,0.00,0.00
274.59,10.19,0.00,0.00
273.12,11.06,0.00,0.00
274.59,10.46,0.00,0.00
273.11,10.46,0.00,0.00
274.61,10.79,0.00,0.00
273.13,11.83,0.00,0.00
231.78,10.77,0.00,0.04
273.12,9.65,0.00,0.04
274.60,10.68,0.00,0.04
228.83,10.38,0.00,0.00
273.11,10.85,0.00,0.00
274.57,9.62,0.00,0.00
273.14,9.66,0.00,0.00
194.87,8.91,0.00,0.00
265.74,11.37,0.00,0.00
273.12,10.51,0.00,0.00
