eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
482.64,20.80,283.62,10.88
462.11,18.76,273.13,11.17
565.41,23.92,231.77,9.07
571.81,20.48,273.34,12.03
465.03,17.50,273.11,10.77
571.35,22.21,274.60,10.52
569.86,21.12,273.12,11.82
571.37,24.67,271.66,9.99
478.32,17.12,276.07,12.22
559.58,22.20,274.62,11.61
484.25,18.10,0.00,0.00
571.38,23.34,0.00,0.00
570.48,20.38,0.00,0.00
571.36,21.31,0.00,0.00
569.84,20.72,0.00,0.00
571.62,20.84,0.00,0.00
570.10,22.85,0.00,0.00
465.08,20.44,0.00,0.00
569.87,20.58,0.00,0.00
571.32,23.01,0.00,0.00
571.31,19.79,0.00,0.00
569.86,23.99,0.00,0.00
361.72,17.86,0.00,0.00
571.34,22.89,0.00,0.00
570.45,23.60,0.00,0.00
472.41,18.49,0.00,0.04
571.31,23.24,0.00,0.04
571.30,24.66,0.00,0.04
465.05,18.51,0.00,0.04
571.79,23.36,0.00,0.04
466.53,20.51,0.00,0.04
571.41,24.66,0.00,0.00
569.84,24.44,0.00,0.04
571.33,21.73,0.00,0.04
