eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
69.27,3.86,248.29,10.71
42.82,1.84,425.26,23.33
57.61,2.94,449.10,21.91
56.10,2.81,447.36,18.30
57.57,2.91,448.77,11.75
56.10,2.47,448.79,15.70
57.57,2.49,448.79,13.09
56.10,2.55,448.80,12.62
57.57,2.28,447.24,12.45
56.11,1.44,448.92,12.38
56.10,1.45,2.95,0.14
57.58,2.47,0.00,0.00
56.10,1.66,0.00,0.00
54.62,2.91,0.00,0.00
51.67,2.25,0.00,0.00
57.58,2.22,0.00,0.00
56.10,1.76,0.00,0.00
57.58,2.03,0.00,0.00
56.10,2.21,0.00,0.00
56.10,2.13,0.00,0.00
57.57,2.69,0.00,0.00
56.10,2.33,0.00,0.00
57.57,2.33,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.44,0.00,0.00
56.10,1.45,0.00,0.04
57.58,1.37,0.00,0.04
56.10,2.80,0.00,0.04
57.60,2.43,0.00,0.04
56.10,2.34,0.00,0.04
56.10,1.37,0.00,0.04
57.58,2.43,0.00,0.00
56.10,2.77,0.00,0.04
57.57,2.25,0.00,0.04
56.10,2.27,0.00,0.04
57.57,2.47,0.00,0.00
56.10,1.37,0.00,0.00
57.57,2.35,0.00,0.00
56.10,1.91,0.00,0.00
56.10,1.88,0.00,0.00
57.58,1.44,0.00,0.04
56.10,2.38,0.00,0.04
57.59,2.41,0.00,0.04
56.10,1.44,0.00,0.00
57.58,2.62,0.00,0.00
56.10,2.14,0.00,0.00
57.58,1.45,0.00,0.00
56.10,2.87,0.00,0.00
56.10,2.83,0.00,0.00
57.58,2.61,0.00,0.00
56.10,2.26,0.00,0.00
57.57,2.98,0.00,0.00
56.10,1.44,0.00,0.00
57.58,2.40,0.00,0.00
56.10,2.92,0.00,0.00
57.57,2.34,0.00,0.00
56.10,2.61,0.00,0.04
57.58,1.44,0.00,0.04
56.10,2.78,0.00,0.04
56.12,1.37,0.00,0.00
57.58,1.45,0.00,0.00
56.10,2.43,0.00,0.00
57.58,1.45,0.00,0.00
56.10,2.40,0.00,0.00
57.58,1.37,0.00,0.00
56.10,2.71,0.00,0.00
57.57,1.95,0.00,0.00
56.10,2.71,0.00,0.00
56.10,1.96,0.00,0.00
57.58,2.41,0.00,0.00
56.10,1.49,0.00,0.00
57.62,2.29,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.37,0.00,0.00
56.10,1.37,0.00,0.00
57.58,2.62,0.00,0.00
56.10,1.37,0.00,0.00
56.15,2.52,0.00,0.00
57.58,2.43,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.93,0.00,0.00
56.10,2.92,0.00,0.00
57.58,3.01,0.00,0.00
56.10,2.68,0.00,0.00
57.58,2.33,0.00,0.00
56.10,2.82,0.00,0.00
56.10,2.22,0.00,0.00
57.57,2.33,0.00,0.00
56.10,1.66,0.00,0.04
57.57,1.91,0.00,0.04
56.10,1.88,0.00,0.04
57.57,2.41,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.37,0.00,0.00
56.13,2.69,0.00,0.00
56.09,2.07,0.00,0.00
57.57,1.85,0.00,0.00
56.10,2.95,0.00,0.00
56.10,2.25,0.00,0.00
57.57,2.68,0.00,0.00
56.10,1.37,0.00,0.00
57.57,2.43,0.00,0.00
56.10,1.37,0.00,0.00
56.10,2.51,0.00,0.00
57.58,1.37,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.44,0.00,0.00
56.10,2.87,0.00,0.00
57.58,2.19,0.00,0.00
56.09,2.43,0.00,0.00
57.62,2.50,0.00,0.00
56.10,2.33,0.00,0.00
56.10,2.43,0.00,0.00
57.57,1.88,0.00,0.00
56.10,2.34,0.00,0.00
57.57,2.45,0.00,0.00
56.10,1.98,0.00,0.00
57.58,1.80,0.00,0.00
56.13,1.37,0.00,0.00
57.63,1.86,0.00,0.00
56.10,2.87,0.00,0.00
56.09,2.45,0.00,0.00
57.57,2.03,0.00,0.00
56.09,2.19,0.00,0.00
57.57,2.75,0.00,0.00
56.10,1.37,0.00,0.00
57.58,2.43,0.00,0.00
56.10,2.72,0.00,0.00
57.58,2.56,0.00,0.00
56.13,2.36,0.00,0.00
56.10,2.19,0.00,0.00
57.58,2.47,0.00,0.00
56.09,1.37,0.00,0.00
57.58,2.15,0.00,0.00
56.10,1.73,0.00,0.00
57.58,2.81,0.00,0.00
56.10,2.25,0.00,0.00
57.58,2.23,0.00,0.00
56.10,2.35,0.00,0.00
56.10,1.44,0.00,0.00
57.57,1.44,0.00,0.00
56.10,2.42,0.00,0.00
57.58,2.49,0.00,0.00
56.10,1.44,0.00,0.00
57.57,1.78,0.00,0.00
56.10,2.85,0.00,0.00
57.60,2.62,0.00,0.00
56.10,2.77,0.00,0.00
56.10,1.80,0.00,0.00
57.58,1.44,0.00,0.00
56.10,2.07,0.00,0.00
57.57,2.92,0.00,0.00
56.10,1.95,0.00,0.00
57.58,2.52,0.00,0.00
56.10,2.80,0.00,0.00
57.58,2.11,0.00,0.00
56.10,1.80,0.00,0.00
57.58,1.56,0.00,0.00
56.10,2.66,0.00,0.00
56.09,2.04,0.00,0.00
57.57,1.93,0.00,0.00
56.10,1.95,0.00,0.00
57.57,2.51,0.00,0.00
54.62,2.91,0.00,0.00
56.10,2.45,0.00,0.00
56.10,2.45,0.00,0.00
57.58,2.32,0.00,0.00
56.10,1.47,0.00,0.00
57.57,2.92,0.00,0.00
56.10,2.92,0.00,0.00
57.58,2.87,0.00,0.00
56.10,1.88,0.00,0.00
57.58,2.52,0.00,0.00
56.10,2.14,0.00,0.00
56.10,1.92,0.00,0.00
57.57,2.88,0.00,0.00
56.10,1.44,0.00,0.00
57.57,2.10,0.00,0.00
56.10,2.27,0.00,0.00
57.57,2.23,0.00,0.00
56.10,2.71,0.00,0.00
57.58,1.37,0.00,0.00
51.67,2.70,0.00,0.00
57.57,1.44,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.37,0.00,0.00
56.10,1.56,0.00,0.00
57.58,2.43,0.00,0.00
56.10,2.44,0.00,0.00
57.58,1.44,0.00,0.00
56.10,2.31,0.00,0.00
57.58,1.59,0.00,0.00
56.10,2.37,0.00,0.00
56.10,1.99,0.00,0.00
57.58,2.76,0.00,0.00
56.10,2.11,0.00,0.00
57.59,2.55,0.00,0.00
56.10,2.66,0.00,0.00
57.58,2.03,0.00,0.00
56.10,1.37,0.00,0.00
57.58,2.39,0.00,0.00
56.10,1.76,0.00,0.00
56.10,2.54,0.00,0.00
57.57,1.37,0.00,0.00
56.10,2.46,0.00,0.00
57.58,2.19,0.00,0.00
56.10,1.88,0.00,0.00
57.58,1.44,0.00,0.00
56.15,2.22,0.00,0.00
57.58,1.59,0.00,0.00
56.10,1.37,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.89,0.00,0.00
56.10,2.75,0.00,0.00
57.63,2.60,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.44,0.00,0.00
56.10,2.53,0.00,0.00
57.58,2.27,0.00,0.00
56.10,2.77,0.00,0.00
56.10,2.82,0.00,0.00
57.57,2.31,0.00,0.00
56.10,2.20,0.00,0.00
57.57,1.52,0.00,0.00
56.10,2.48,0.00,0.00
57.57,2.68,0.00,0.00
56.10,2.38,0.00,0.00
57.58,2.30,0.00,0.00
56.10,1.37,0.00,0.00
57.58,1.65,0.00,0.00
56.10,2.23,0.00,0.00
56.12,2.05,0.00,0.00
57.58,1.80,0.00,0.00
56.10,1.56,0.00,0.00
57.57,3.01,0.00,0.00
56.10,2.83,0.00,0.00
57.58,2.94,0.00,0.00
56.10,2.69,0.00,0.00
57.58,1.88,0.00,0.00
56.10,1.37,0.00,0.00
56.10,2.51,0.00,0.00
57.57,2.14,0.00,0.00
56.10,2.27,0.00,0.00
57.58,2.56,0.00,0.00
56.10,2.39,0.00,0.00
57.58,1.37,0.00,0.00
56.10,2.71,0.00,0.00
57.58,1.88,0.00,0.00
54.64,2.50,0.00,0.00
56.10,2.16,0.00,0.00
57.58,1.44,0.00,0.00
56.10,2.08,0.00,0.00
56.10,1.73,0.00,0.00
57.57,1.47,0.00,0.00
56.10,2.43,0.00,0.00
57.60,2.74,0.00,0.00
56.10,2.95,0.00,0.00
57.58,2.52,0.00,0.00
56.10,1.37,0.00,0.00
57.58,2.43,0.00,0.00
56.10,1.37,0.00,0.00
56.10,1.91,0.00,0.00
44.29,2.33,0.00,0.00
69.39,3.42,0.00,0.00
57.57,1.95,0.00,0.00
56.10,2.14,0.00,0.00
57.58,2.69,0.00,0.00
56.10,2.26,0.00,0.00
56.10,2.62,0.00,0.00
57.58,1.59,0.00,0.00
56.10,2.21,0.00,0.00
57.57,2.13,0.00,0.00
56.10,2.76,0.00,0.00
57.58,2.04,0.00,0.00
56.10,2.45,0.00,0.00
57.58,1.59,0.00,0.00
56.10,1.66,0.00,0.00
56.10,2.82,0.00,0.00
57.58,1.44,0.00,0.00
56.10,2.43,0.00,0.00
57.58,2.07,0.00,0.00
56.10,2.28,0.00,0.00
57.58,2.48,0.00,0.00
56.10,2.93,0.00,0.00
57.58,2.67,0.00,0.00
56.10,2.51,0.00,0.00
57.58,2.50,0.00,0.00
56.10,2.59,0.00,0.00
56.10,2.65,0.00,0.00
57.57,2.11,0.00,0.00
56.10,1.89,0.00,0.00
57.58,2.07,0.00,0.00
56.10,1.77,0.00,0.00
57.58,2.68,0.00,0.00
56.10,2.61,0.00,0.00
57.57,2.14,0.00,0.00
56.10,2.79,0.00,0.00
56.10,1.37,0.00,0.00
57.58,2.41,0.00,0.00
