eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
610.83,31.45,218.91,7.94
605.58,30.15,206.78,10.61
605.63,26.08,206.80,9.53
605.63,24.53,206.80,6.42
605.57,23.88,208.26,6.59
605.59,24.26,206.79,5.13
496.07,19.87,206.70,6.38
605.42,22.84,208.20,5.05
605.80,23.00,206.86,6.69
604.41,23.84,206.89,5.84
606.75,24.25,0.00,0.00
605.62,22.10,0.00,0.00
518.16,19.25,0.00,0.00
472.80,20.59,0.00,0.00
605.51,22.42,0.00,0.00
504.93,20.53,0.00,0.00
596.40,24.52,0.00,0.00
606.90,25.34,0.00,0.00
605.57,22.86,0.00,0.00
605.58,24.38,0.00,0.00
605.58,23.85,0.00,0.00
605.26,24.59,0.00,0.00
605.29,24.73,0.00,0.00
605.34,25.71,0.00,0.00
553.68,22.53,0.00,0.00
546.23,20.63,0.00,0.04
605.26,22.87,0.00,0.04
605.51,22.88,0.00,0.04
605.27,22.45,0.00,0.04
606.80,23.89,0.00,0.04
605.30,23.79,0.00,0.04
566.89,24.28,0.00,0.00
