eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
209.71,11.02,591.34,27.34
197.84,11.36,587.62,28.74
197.83,9.96,589.06,28.08
196.35,6.46,589.06,18.49
197.81,8.83,587.52,19.74
197.81,7.18,589.01,18.88
103.34,3.65,589.04,17.48
174.35,7.28,588.07,17.60
197.87,6.65,589.17,19.34
196.48,6.66,477.16,17.68
169.78,7.32,0.00,0.00
197.96,8.00,0.00,0.00
196.35,7.88,0.00,0.00
197.82,7.12,0.00,0.00
197.81,7.94,0.00,0.00
169.78,6.73,0.00,0.00
197.84,7.41,0.00,0.00
196.36,6.26,0.00,0.00
168.30,7.25,0.00,0.00
197.90,5.80,0.00,0.00
196.34,8.20,0.00,0.00
197.81,6.94,0.00,0.00
197.82,6.13,0.00,0.00
197.83,6.87,0.00,0.00
197.84,7.93,0.00,0.00
197.81,7.05,0.00,0.04
197.99,6.79,0.00,0.04
196.35,8.20,0.00,0.04
197.82,6.79,0.00,0.04
197.82,7.00,0.00,0.04
156.48,7.02,0.00,0.04
180.12,6.79,0.00,0.00
197.99,7.74,0.00,0.04
197.82,8.08,0.00,0.04
197.95,7.84,0.00,0.04
196.35,7.29,0.00,0.00
166.82,5.79,0.00,0.00
197.81,6.08,0.00,0.00
197.90,8.06,0.00,0.00
197.82,8.86,0.00,0.00
197.82,6.15,0.00,0.04
196.35,8.24,0.00,0.04
197.82,8.11,0.00,0.04
197.82,8.97,0.00,0.00
197.81,6.79,0.00,0.00
121.05,4.10,0.00,0.00
146.16,6.19,0.00,0.00
194.87,7.02,0.00,0.00
197.83,7.89,0.00,0.00
197.82,6.87,0.00,0.00
197.83,7.23,0.00,0.00
197.82,6.13,0.00,0.00
196.35,8.76,0.00,0.00
197.82,8.79,0.00,0.00
169.77,6.81,0.00,0.00
197.83,7.47,0.00,0.00
197.83,8.83,0.00,0.04
197.83,8.30,0.00,0.04
197.83,6.51,0.00,0.04
197.81,7.17,0.00,0.00
165.40,6.83,0.00,0.00
199.30,6.32,0.00,0.00
197.82,8.44,0.00,0.00
197.83,4.83,0.00,0.00
196.34,8.54,0.00,0.00
197.82,6.19,0.00,0.00
197.85,8.20,0.00,0.00
168.29,7.71,0.00,0.00
196.35,6.72,0.00,0.00
197.82,7.54,0.00,0.00
197.82,7.76,0.00,0.00
197.82,5.82,0.00,0.00
197.81,7.02,0.00,0.00
197.82,9.29,0.00,0.00
197.93,8.30,0.00,0.00
196.34,7.03,0.00,0.00
197.82,7.27,0.00,0.00
197.85,6.20,0.00,0.00
197.84,7.30,0.00,0.00
197.83,7.77,0.00,0.00
197.83,7.76,0.00,0.00
