eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
417.77,11.57,265.52,13.78
410.73,9.97,254.12,12.72
408.99,10.03,255.43,11.57
409.02,10.03,255.45,12.73
408.95,9.96,253.93,12.98
410.45,10.03,255.42,10.95
408.93,17.69,253.92,11.14
408.94,24.84,217.02,5.92
410.41,25.48,138.77,4.40
408.41,25.39,93.00,3.54
410.42,25.57,0.00,0.00
408.94,25.39,0.00,0.00
408.94,25.39,0.00,0.00
410.42,18.48,0.00,0.00
408.93,23.23,0.00,0.00
409.07,23.25,0.00,0.00
410.45,14.25,0.00,0.00
408.95,10.03,0.00,0.00
408.96,15.31,0.00,0.00
410.46,20.46,0.00,0.00
408.94,10.03,0.00,0.00
408.94,9.96,0.00,0.00
410.44,10.03,0.00,0.00
408.94,10.03,0.00,0.00
408.96,17.41,0.00,0.00
410.38,15.59,0.00,0.04
408.94,10.03,0.00,0.04
408.93,9.96,0.00,0.04
410.38,10.89,0.00,0.04
408.96,12.16,0.00,0.04
408.94,10.03,0.00,0.04
410.37,12.28,0.00,0.00
409.05,11.86,0.00,0.04
408.94,11.57,0.00,0.04
410.33,9.96,0.00,0.04
408.93,11.68,0.00,0.00
408.94,11.76,0.00,0.00
410.40,12.65,0.00,0.00
409.11,10.03,0.00,0.00
408.94,9.96,0.00,0.00
408.96,11.97,0.00,0.04
410.44,11.47,0.00,0.04
408.91,11.61,0.00,0.04
408.93,10.03,0.00,0.00
410.41,10.03,0.00,0.00
408.95,11.97,0.00,0.00
408.94,11.61,0.00,0.00
