eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
287.76,13.70,593.66,26.78
277.55,10.05,589.06,23.50
277.55,12.02,479.81,18.68
277.56,9.67,496.06,18.57
277.56,10.92,574.31,21.60
277.51,9.38,479.74,20.99
264.24,10.82,546.20,23.74
255.37,9.40,525.51,21.42
274.60,9.07,587.58,26.21
277.73,11.26,493.42,20.50
277.56,10.62,0.00,0.00
277.55,11.98,0.00,0.00
129.91,5.32,0.00,0.00
256.88,8.08,0.00,0.00
277.57,11.06,0.00,0.00
277.58,8.75,0.00,0.00
277.55,10.95,0.00,0.00
277.55,11.00,0.00,0.00
277.80,10.53,0.00,0.00
277.54,10.81,0.00,0.00
277.55,11.41,0.00,0.00
277.54,11.39,0.00,0.00
277.54,10.80,0.00,0.00
277.54,7.68,0.00,0.00
277.83,8.77,0.00,0.00
277.55,9.09,0.00,0.04
277.54,8.82,0.00,0.04
277.54,9.98,0.00,0.04
277.54,11.04,0.00,0.04
277.54,10.55,0.00,0.04
277.80,11.86,0.00,0.04
277.54,9.50,0.00,0.00
277.55,9.89,0.00,0.04
277.57,10.65,0.00,0.04
277.58,9.68,0.00,0.04
277.54,12.82,0.00,0.00
237.67,9.81,0.00,0.00
273.11,12.32,0.00,0.00
277.55,11.41,0.00,0.00
277.55,10.70,0.00,0.00
230.31,9.37,0.00,0.04
277.54,10.10,0.00,0.04
277.54,11.11,0.00,0.04
277.53,8.15,0.00,0.00
242.10,10.43,0.00,0.00
268.67,10.28,0.00,0.00
277.54,8.05,0.00,0.00
277.66,11.35,0.00,0.00
277.53,11.82,0.00,0.00
277.54,11.06,0.00,0.00
277.54,11.01,0.00,0.00
277.54,7.94,0.00,0.00
277.55,10.19,0.00,0.00
277.61,10.61,0.00,0.00
277.54,9.96,0.00,0.00
277.55,10.02,0.00,0.00
277.54,11.06,0.00,0.04
277.54,11.80,0.00,0.04
