eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
485.04,21.89,321.26,15.75
475.41,22.59,302.67,13.24
475.44,15.24,299.73,10.68
473.92,19.14,364.67,12.54
475.38,15.58,364.65,13.32
475.43,14.43,236.24,10.21
475.58,16.57,364.81,15.65
475.70,16.13,301.37,12.25
473.89,15.66,302.64,12.51
475.53,16.70,361.81,13.40
475.38,15.06,0.00,0.00
475.35,16.02,0.00,0.00
475.36,17.59,0.00,0.00
475.39,17.38,0.00,0.00
475.39,16.40,0.00,0.00
391.22,13.15,0.00,0.00
475.37,18.35,0.00,0.00
475.37,17.96,0.00,0.00
475.34,16.85,0.00,0.00
475.38,19.14,0.00,0.00
475.40,18.58,0.00,0.00
475.36,18.02,0.00,0.00
473.90,18.13,0.00,0.00
475.38,14.38,0.00,0.00
475.84,16.46,0.00,0.00
475.69,18.61,0.00,0.04
473.89,18.00,0.00,0.04
475.36,19.33,0.00,0.04
475.38,16.38,0.00,0.04
467.97,18.29,0.00,0.04
395.64,15.32,0.00,0.04
475.83,12.98,0.00,0.00
475.38,18.76,0.00,0.04
475.41,15.85,0.00,0.04
473.89,16.80,0.00,0.04
475.34,18.29,0.00,0.00
475.34,15.33,0.00,0.00
475.38,15.55,0.00,0.00
