Cenario,BandA,BandB,RTTA,RTTB,Sent,Retrans,Lost,Time
1,0.465,3.674,0.0926,0.1272,15627,319,2,65.542
2,0.578,3.237,0.8113,0.1427,16355,513,3,64.422
3,0.773,3.627,0.7794,0.1701,16503,624,3,62.245
4,0.879,4.817,0.0988,0.7969,16947,513,2,55.957
5,0.961,4.874,0.0930,0.10784,16067,226,1,49.099
6,0.990,3.787,0.0948,0.9307,16113,214,2,49.755
7,1.154,4.793,0.0825,0.1622,16644,510,3,43.916
8,1.160,3.270,0.7928,0.8401,15580,538,3,48.458
9,1.229,4.456,0.0986,0.1666,16126,712,3,43.381
10,1.619,4.822,0.0985,0.1691,16120,587,3,35.207
11,1.677,3.420,0.10974,0.1559,14982,293,4,38.527
12,1.697,4.961,0.7414,0.1387,15247,268,2,33.002
13,1.721,4.545,0.0995,0.1468,16183,590,3,37.057
14,1.922,4.498,0.0933,0.10704,15515,684,3,33.838
15,2.088,3.354,0.8602,0.1403,14583,454,3,37.508
16,2.243,4.675,0.6114,0.1414,14654,851,2,28.746
17,2.272,3.311,0.0908,0.7601,14601,727,3,40.198
18,2.274,4.828,0.1016,0.9876,15485,962,4,29.176
19,2.480,3.814,0.0830,0.1183,14753,217,3,31.479
20,2.584,3.557,0.1108,0.1194,14900,961,3,31.366
21,2.598,4.376,0.8655,0.1660,14968,428,3,27.600
22,2.653,3.448,0.0805,0.1307,14415,106,3,29.418
23,2.675,4.744,0.1006,0.9400,16108,1194,3,28.174
24,2.774,4.114,0.0847,0.7991,14863,423,3,27.156
25,2.984,3.893,0.0875,0.1527,14880,1421,3,28.709
26,3.237,0.578,0.0910,0.1555,16166,379,1,69.431
27,3.270,1.160,0.22218,0.1808,15893,518,3,48.326
28,3.311,2.272,0.3437,0.1588,14591,74,2,32.525
29,3.354,2.088,0.0984,0.1228,15398,1778,4,51.527
30,3.420,1.677,0.0862,0.1623,15024,601,3,38.734
31,3.448,2.653,0.0932,0.1617,14768,1471,4,33.844
32,3.557,2.584,0.0770,0.1493,15159,1655,4,38.393
33,3.627,0.773,0.7963,0.1463,16285,428,2,59.017
34,3.674,0.465,0.0941,0.1578,15292,433,2,65.561
35,3.787,0.990,0.0909,0.1692,16431,1040,3,85.386
36,3.814,2.480,0.0935,0.1102,14988,918,3,32.624
37,3.893,2.984,0.0984,0.1472,14970,966,3,32.883
38,4.114,2.774,0.0893,0.1196,14768,350,4,29.373
39,4.376,2.598,0.0936,0.1458,14970,672,3,28.113
40,4.456,1.229,0.0920,0.7987,15470,564,3,37.610
41,4.498,1.922,0.0951,0.1379,15439,697,3,32.619
42,4.545,1.721,0.0872,0.1563,16287,363,3,48.306
43,4.675,2.243,0.1038,0.10221,15350,337,2,30.135
44,4.744,2.675,0.1029,0.1441,15435,1678,4,32.716
45,4.793,1.154,0.0842,0.1540,15927,410,3,38.412
46,4.817,0.879,0.9079,0.1105,15598,352,2,42.959
47,4.822,1.619,0.0901,0.1558,16137,800,3,34.441
48,4.828,2.274,0.0954,0.1595,15749,510,3,29.591
49,4.874,0.961,0.0858,0.1399,16402,343,2,51.072
50,4.961,1.697,0.0938,0.1396,15318,411,3,30.826
51,0.465,3.674,0.0928,0.1195,15866,394,1,68.122
52,0.578,3.237,0.0855,0.8758,15527,567,2,59.487
53,0.773,3.627,0.10161,0.1420,16202,490,2,57.695
54,0.879,4.817,0.0880,0.1647,15498,345,2,42.233
55,0.961,4.874,0.0863,0.1347,16248,317,2,45.384
56,0.990,3.787,0.1055,0.1449,17166,385,2,53.940
57,1.154,4.793,0.0929,0.1763,16715,732,3,46.003
58,1.160,3.270,0.1001,0.9412,15739,628,2,52.860
59,1.229,4.456,0.0692,0.1604,15790,685,3,41.178
