eth0-in,eth0-out,eth1-in,eth1-out
472.89,12.65,133.63,5.17
462.05,11.26,121.05,4.83
462.12,11.33,121.07,2.96
463.52,11.26,121.05,4.47
462.19,11.33,121.08,5.92
462.27,11.26,119.63,4.62
462.31,11.26,121.12,3.47
462.30,18.01,121.78,3.10
462.24,28.70,119.62,2.96
462.30,28.70,121.87,2.96
462.34,22.73,121.12,2.96
462.19,11.33,119.61,2.96
330.69,8.15,121.06,2.96
264.23,7.00,121.05,2.96
463.52,13.42,121.05,3.46
462.21,22.59,121.09,5.92
462.22,22.66,121.09,5.85
462.36,13.29,119.65,3.54
178.63,4.40,121.05,2.96
447.04,16.90,121.17,4.55
462.31,13.79,121.12,3.68
462.26,16.46,121.10,4.26
462.29,20.34,119.68,2.96
462.26,26.26,121.10,2.96
462.34,26.26,121.12,2.96
460.94,17.74,121.04,2.96
463.58,11.83,121.06,3.03
462.34,11.34,121.12,2.96
461.23,11.33,119.58,2.96
190.43,4.69,121.05,2.96
468.27,11.99,121.13,2.96
150.70,3.68,121.15,2.96
118.09,2.89,121.05,2.89
400.49,9.52,119.58,2.96
462.00,11.25,121.04,2.96
428.14,10.17,121.06,2.96
462.06,11.26,121.05,2.96
445.86,10.90,121.06,2.96
121.06,2.96,121.06,2.96
121.07,2.96,121.07,2.96
453.35,10.82,119.58,2.96
462.01,11.25,121.04,2.96
463.59,11.33,121.06,2.96
310.02,7.58,121.05,2.96
291.71,6.78,121.05,2.96
463.51,11.26,121.04,2.96
344.15,8.45,121.12,2.89
121.07,2.96,119.59,2.96
121.08,2.96,121.08,2.96
121.07,2.96,121.07,2.96
457.62,10.82,121.05,2.96
462.24,11.33,121.10,2.96
462.19,11.34,121.18,2.96
450.24,10.97,119.57,2.96
121.06,2.96,121.06,2.96
302.75,7.07,121.10,2.96
462.28,11.26,121.11,2.96
329.21,8.08,121.05,2.96
466.91,11.04,121.10,2.96
462.28,11.33,119.63,2.89
191.91,4.69,121.05,2.96
121.05,2.96,121.05,2.96
181.58,4.19,121.06,2.96
463.51,11.26,121.04,2.96
462.17,11.33,121.08,2.96
135.94,3.32,121.16,2.96
369.96,8.73,119.58,2.96
463.48,11.18,121.04,2.96
462.12,11.33,121.07,2.96
414.83,10.10,121.05,2.96
121.05,2.96,121.05,2.96
121.06,2.96,121.06,2.96
440.56,10.40,121.11,2.89
333.64,8.23,119.58,2.96
