eth0-in,eth0-out,eth1-in,eth1-out
542.44,20.91,326.92,12.27
534.43,20.28,317.41,11.98
533.52,24.78,317.74,14.66
534.87,14.30,316.19,8.52
534.17,23.26,317.74,13.87
533.03,29.24,317.46,15.44
535.29,33.19,315.99,9.82
533.63,32.93,286.55,7.07
534.50,30.36,317.45,7.72
534.38,30.27,315.90,7.72
533.44,18.88,317.39,7.72
534.43,13.06,317.41,7.79
534.64,22.23,317.53,13.14
533.37,30.86,317.42,7.72
534.44,33.18,315.94,7.79
534.79,14.65,317.51,8.30
534.16,13.28,317.44,7.94
533.40,13.07,317.67,7.73
214.06,5.27,315.92,7.79
315.97,7.87,317.45,11.49
534.40,13.06,317.39,19.71
534.87,12.99,317.37,19.70
533.30,13.07,317.62,19.63
157.97,3.90,315.93,19.71
212.94,5.77,317.40,15.23
534.08,13.07,317.60,7.73
534.67,13.07,317.55,7.72
533.71,12.99,315.96,7.79
534.39,13.06,317.38,7.72
535.04,12.99,317.52,7.80
533.41,13.07,317.68,7.73
533.92,13.06,315.94,7.72
534.51,12.99,317.46,7.79
534.04,13.06,317.40,7.72
534.48,13.06,317.44,7.79
534.58,13.06,317.50,7.72
533.48,12.99,315.92,7.72
534.43,13.06,317.41,7.79
533.71,13.06,317.39,7.72
491.81,12.12,317.40,7.79
0.07,0.07,271.79,6.71
n/a,n/a,n/a,n/a
