eth0-in,eth0-out,eth1-in,eth1-out
163.62,7.47,552.91,23.05
149.11,5.84,543.28,21.65
150.58,4.62,543.27,16.60
149.23,7.29,545.20,26.58
150.58,4.69,543.27,17.03
150.58,3.68,544.00,25.36
149.09,3.68,544.71,33.73
150.58,7.07,542.91,33.29
150.61,7.36,544.84,30.95
149.12,4.76,543.32,30.86
150.59,3.68,543.59,13.46
149.18,3.68,545.01,13.28
150.58,3.68,352.83,8.66
150.66,3.61,206.78,5.63
149.10,3.68,543.27,13.20
150.58,3.68,501.93,12.27
149.10,6.13,437.41,19.84
150.59,4.62,543.59,16.74
150.59,3.68,544.77,13.28
149.11,3.61,543.28,21.21
150.57,3.68,543.22,13.28
150.58,3.68,191.91,4.69
149.11,3.68,150.59,3.68
150.58,3.68,150.58,3.68
150.03,3.68,150.03,3.68
149.10,3.61,408.02,9.67
150.58,3.68,544.75,13.28
150.58,4.64,286.40,7.00
149.10,8.47,450.24,10.61
150.58,9.16,543.26,13.28
150.55,9.26,395.55,9.52
149.10,8.87,0.00,0.00
150.58,8.55,0.00,0.00
149.10,6.36,285.33,8.59
150.70,3.68,543.70,13.29
149.44,3.68,543.30,13.28
150.58,3.68,411.88,10.10
150.64,3.61,100.14,2.96
149.24,3.68,543.75,13.36
150.56,3.68,543.21,13.28
149.10,3.68,543.69,13.28
150.68,3.68,545.09,13.29
150.58,3.61,543.26,13.35
149.10,3.68,544.74,13.28
150.58,3.68,529.17,12.63
149.10,3.68,543.27,13.28
150.67,3.68,545.08,13.28
150.65,3.61,543.51,13.28
149.11,3.68,543.28,13.28
150.58,3.68,544.74,13.35
149.10,3.68,543.27,13.20
150.58,3.68,544.75,13.28
150.58,3.68,543.27,13.28
149.24,3.61,543.76,13.29
150.58,3.68,544.76,13.35
149.09,3.68,543.22,13.28
127.04,3.17,41.11,1.09
n/a,n/a,n/a,n/a
