eth0-in,eth0-out,eth1-in,eth1-out
513.22,13.60,349.49,13.62
501.98,12.27,339.57,13.49
502.03,12.27,338.13,12.05
501.89,12.27,338.03,15.08
503.38,12.34,339.53,8.30
502.17,13.73,338.15,15.73
501.91,31.25,62.00,3.03
502.38,31.26,0.00,0.00
502.40,31.10,280.75,8.96
502.12,28.52,338.19,8.23
502.16,28.52,338.22,8.30
501.26,24.86,338.70,8.23
501.92,12.48,338.06,8.51
503.45,12.27,339.57,8.30
501.95,16.95,338.08,8.23
502.12,22.33,339.61,8.23
501.89,12.27,338.04,8.30
277.54,6.78,338.07,8.23
506.63,12.85,339.72,12.43
434.46,10.62,338.40,19.34
148.38,4.19,338.18,20.51
501.94,12.34,338.07,13.46
502.48,12.21,339.84,8.23
502.16,12.27,338.22,8.30
502.18,12.20,338.23,8.30
502.27,12.34,338.22,8.23
502.24,12.20,339.75,8.30
502.06,12.34,338.02,8.30
501.93,12.27,338.07,8.23
501.93,12.27,339.54,8.30
501.70,12.27,338.10,8.30
501.99,12.27,338.11,8.23
502.69,12.34,339.59,8.30
501.95,12.27,338.08,8.30
501.97,12.27,339.56,8.30
502.63,12.27,338.07,8.23
501.90,12.27,338.05,8.23
502.44,12.27,339.55,8.30
501.96,12.27,338.09,8.30
502.32,12.27,338.26,8.23
23.35,0.65,339.53,8.30
0.07,0.07,208.30,5.20
