eth0-in,eth0-out,eth1-in,eth1-out
153.42,6.96,587.85,23.99
141.72,4.33,584.60,15.95
140.25,5.41,586.11,22.73
141.73,5.84,584.62,24.25
140.25,5.05,584.63,21.07
140.26,5.48,585.55,33.59
53.14,1.30,584.59,36.30
51.67,1.80,586.07,36.30
140.26,5.41,583.93,34.35
141.75,6.93,586.20,33.21
140.38,5.85,585.18,33.24
141.72,3.46,584.13,25.54
140.24,3.46,586.08,33.21
140.24,3.39,583.93,27.67
141.72,3.46,586.07,14.29
140.38,3.47,585.16,14.30
141.73,3.46,360.41,8.44
140.24,3.39,586.05,14.36
140.24,3.46,273.11,6.64
141.72,3.46,141.72,3.46
140.25,3.39,420.74,9.96
141.82,3.47,586.13,14.30
140.36,3.47,585.08,14.30
140.25,3.39,460.60,11.26
141.79,3.47,189.05,4.62
140.27,3.46,584.69,14.29
141.72,3.46,392.69,9.60
140.25,3.39,577.48,13.78
140.22,3.46,466.43,11.40
141.75,3.46,239.20,5.48
140.36,3.39,585.07,14.30
141.72,3.46,485.68,11.91
140.24,3.46,141.72,3.46
141.73,3.39,553.06,13.57
140.24,3.46,584.58,14.29
140.23,3.46,586.03,14.29
141.73,3.46,388.36,9.52
140.25,3.39,584.61,14.29
141.72,3.46,366.11,8.95
140.24,3.46,141.72,3.46
140.24,3.39,524.06,12.41
141.71,3.61,585.54,15.08
140.26,3.46,584.65,14.29
141.73,3.46,479.80,11.69
140.25,3.39,138.77,3.39
141.73,3.46,577.25,14.07
140.26,3.46,585.48,14.36
140.25,3.39,586.09,14.21
141.72,3.46,584.57,14.29
140.24,3.46,454.69,11.11
141.72,3.46,141.72,3.46
140.25,3.39,335.92,7.94
141.72,3.46,586.08,14.36
140.25,3.46,267.20,6.49
140.31,3.39,431.28,10.18
141.75,3.46,584.71,14.29
140.26,3.46,585.46,14.36
141.73,3.46,423.72,10.32
140.24,3.39,138.77,3.39
140.40,3.47,312.35,7.44
141.74,5.92,0.00,0.00
140.25,4.33,0.00,0.00
141.73,3.46,0.00,0.00
140.25,3.46,0.00,0.00
87.17,2.17,0.00,0.07
