eth0-in,eth0-out,eth1-in,eth1-out
374.66,15.36,484.72,12.76
364.74,13.86,475.49,11.62
364.95,11.41,475.77,11.55
363.14,14.36,473.85,11.62
364.64,17.82,476.00,11.69
364.88,11.48,475.68,11.62
42.81,1.08,474.65,22.16
133.01,6.57,473.84,29.51
364.66,17.82,475.39,28.31
364.99,9.53,475.81,27.02
363.45,8.95,475.74,26.94
365.02,8.88,474.59,13.57
363.20,10.54,475.41,13.78
365.00,8.88,475.83,11.56
364.62,8.87,474.31,25.69
363.16,9.02,474.77,16.86
364.61,8.95,475.32,11.62
365.03,8.88,338.43,8.81
363.12,20.14,475.30,11.54
364.64,22.00,224.39,5.56
365.04,19.97,410.46,10.69
363.38,8.95,475.64,11.62
364.66,8.80,474.69,11.62
364.65,8.88,450.38,10.61
363.16,9.15,473.88,11.62
364.66,20.71,475.38,11.62
364.94,20.65,19.21,0.51
363.16,14.31,270.48,7.22
364.66,8.88,475.39,11.62
364.64,8.95,475.36,11.62
363.48,8.88,475.57,11.63
364.61,8.87,475.32,11.62
364.65,8.95,474.32,11.62
364.64,8.88,475.36,11.54
363.34,8.88,475.91,11.62
364.62,8.95,475.34,11.62
364.66,8.88,473.91,11.62
363.39,8.88,476.42,11.62
364.64,8.95,475.36,11.62
364.64,8.88,474.80,11.62
363.21,8.88,132.88,3.32
63.14,1.66,0.14,0.08
