eth0-in,eth0-out,eth1-in,eth1-out
587.75,15.69,337.98,14.18
579.21,14.16,326.55,13.29
579.17,14.15,326.52,10.18
579.59,14.23,326.57,15.96
579.18,14.15,326.53,8.95
579.21,24.70,283.49,13.93
579.08,35.95,0.00,0.00
579.20,36.05,17.73,0.79
578.21,34.52,326.39,8.16
579.27,32.90,326.58,7.94
579.22,32.90,326.55,8.02
579.73,18.64,326.63,7.95
579.05,17.62,326.45,9.96
579.07,17.79,326.46,8.01
579.28,33.07,326.51,7.94
578.71,16.87,326.26,8.23
578.61,14.14,326.24,8.01
560.98,13.71,326.26,7.94
293.02,7.79,326.27,8.01
580.22,14.14,327.76,12.23
578.71,14.14,326.26,20.26
578.73,14.00,326.27,20.26
579.75,14.07,326.35,12.22
579.13,14.15,326.50,8.02
579.08,14.22,326.27,7.94
500.61,11.84,326.35,8.01
578.79,14.22,327.78,7.94
578.77,14.15,326.51,8.02
579.18,14.08,326.53,7.94
579.26,14.16,326.58,8.02
579.20,14.15,326.54,7.94
578.63,14.15,326.50,8.02
579.25,14.16,326.57,7.94
579.88,14.15,326.50,8.02
579.03,14.08,326.44,8.01
578.47,14.22,326.28,7.94
578.70,14.14,326.26,8.01
580.03,14.15,326.37,7.94
256.54,6.35,326.24,8.01
