eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
220.87,13.93,471.95,16.24
209.55,5.53,555.44,14.49
209.51,5.74,554.84,16.53
211.15,5.78,554.56,16.47
209.96,5.68,555.14,16.44
210.00,5.77,554.54,16.43
210.04,5.68,554.03,16.52
209.24,5.68,555.76,16.49
210.99,5.67,554.66,16.64
210.50,5.71,554.79,16.41
209.44,6.52,8.14,0.22
209.53,6.44,0.00,0.00
210.80,6.06,0.00,0.00
209.65,6.22,0.00,0.00
210.82,6.15,0.00,0.00
209.40,6.01,0.00,0.00
209.69,6.54,0.00,0.00
210.70,6.16,0.00,0.00
209.43,6.10,0.00,0.00
210.66,6.01,0.00,0.00
210.74,5.96,0.00,0.00
209.50,6.19,0.00,0.00
209.47,6.23,0.00,0.00
210.64,6.09,0.00,0.00
209.44,6.07,0.00,0.00
210.76,6.00,0.00,0.00
210.69,6.25,0.00,0.00
209.40,5.96,0.00,0.00
210.58,6.04,0.00,0.00
209.29,5.95,0.00,0.00
211.06,6.11,0.00,0.00
209.40,5.94,0.00,0.00
210.72,6.06,0.00,0.00
209.51,5.86,0.00,0.00
209.45,6.10,0.00,0.00
210.98,6.30,0.00,0.00
209.45,6.08,0.00,0.00
210.73,6.04,0.00,0.00
209.38,6.01,0.00,0.00
211.20,6.02,0.00,0.00
209.38,6.15,0.00,0.00
210.73,5.98,0.00,0.00
209.42,6.24,0.00,0.00
209.78,6.09,0.00,0.00
210.68,6.17,0.00,0.00
209.50,6.09,0.00,0.00
210.65,6.15,0.00,0.00
209.45,6.26,0.00,0.00
211.02,6.08,0.00,0.00
209.33,6.07,0.00,0.00
210.86,6.15,0.00,0.00
209.36,5.98,0.00,0.00
210.92,6.00,0.00,0.00
209.26,6.04,0.00,0.00
210.92,6.17,0.00,0.00
209.20,5.98,0.00,0.00
210.95,6.16,0.00,0.00
209.83,6.06,0.00,0.00
209.48,5.96,0.00,0.00
210.92,6.06,0.00,0.00
209.43,6.23,0.00,0.00
209.72,6.27,0.00,0.00
211.04,6.08,0.00,0.00
209.44,6.14,0.00,0.00
210.78,5.98,0.00,0.00
209.50,6.07,0.00,0.00
209.62,6.07,0.00,0.00
211.00,5.93,0.00,0.00
209.69,6.09,0.00,0.00
209.41,6.05,0.00,0.00
210.90,6.01,0.00,0.00
209.47,6.07,0.00,0.00
211.10,5.97,0.00,0.00
209.71,6.17,0.00,0.00
