eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
461.17,21.97,290.09,11.09
465.10,13.61,303.67,8.65
465.04,13.93,302.69,8.76
465.49,13.87,302.30,8.32
465.50,13.85,303.39,8.16
465.68,13.35,301.78,8.15
466.05,13.46,303.14,8.26
466.18,13.79,302.96,8.31
464.81,13.63,303.04,8.19
466.32,13.54,301.73,8.13
465.47,13.25,6.79,0.22
465.62,13.34,0.00,0.00
465.10,13.40,0.00,0.00
465.30,13.41,0.00,0.00
465.16,13.36,0.00,0.00
466.81,13.29,0.00,0.00
465.48,13.33,0.00,0.00
465.63,13.11,0.00,0.00
465.56,13.34,0.00,0.00
464.96,13.22,0.00,0.00
465.04,13.22,0.00,0.00
466.72,13.35,0.00,0.00
465.56,13.35,0.00,0.00
465.51,13.32,0.00,0.00
465.53,13.32,0.00,0.00
465.62,13.33,0.00,0.00
465.52,13.19,0.00,0.00
465.39,13.82,0.00,0.00
465.26,13.56,0.00,0.00
465.23,13.17,0.00,0.00
465.82,13.45,0.00,0.00
466.10,13.25,0.00,0.00
464.79,13.48,0.00,0.00
465.70,13.29,0.00,0.00
465.73,13.35,0.00,0.00
466.00,13.31,0.07,0.00
465.84,13.31,0.00,0.00
465.71,13.19,0.00,0.00
