eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
545.70,23.25,205.11,9.57
588.02,17.39,196.86,5.56
589.27,17.13,198.10,3.54
588.60,17.25,197.57,5.53
588.00,17.23,197.89,5.51
588.46,17.34,197.12,5.37
589.48,17.21,198.55,5.61
588.62,17.03,196.89,5.50
587.61,17.32,198.32,5.49
589.44,17.02,197.69,5.37
588.19,17.06,4.07,0.15
589.37,17.07,0.00,0.00
588.47,17.61,0.00,0.00
588.15,17.30,0.00,0.00
589.14,16.95,0.00,0.00
588.43,17.34,0.00,0.00
587.87,17.02,0.00,0.00
589.52,16.97,0.00,0.00
588.03,17.20,0.00,0.00
589.30,16.96,0.00,0.00
588.21,17.02,0.00,0.00
588.68,17.06,0.00,0.00
588.74,17.24,0.00,0.00
588.50,17.14,0.00,0.00
588.82,17.01,0.00,0.00
588.38,17.19,0.00,0.00
588.96,16.93,0.00,0.00
588.21,17.07,0.00,0.00
589.07,16.96,0.00,0.00
588.57,16.96,0.00,0.00
588.30,16.79,0.00,0.00
588.81,17.07,0.00,0.00
