eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
161.03,12.08,432.60,15.60
150.29,4.28,543.66,16.52
150.65,4.32,544.62,16.21
149.98,4.35,544.33,16.65
149.88,4.19,542.87,16.34
149.41,4.33,544.13,16.39
150.17,4.19,543.66,16.11
150.57,4.09,545.13,16.58
149.12,4.08,543.16,16.87
150.25,4.17,543.79,16.65
150.36,5.18,9.30,0.22
146.22,4.80,0.00,0.00
150.22,4.43,0.00,0.00
148.56,4.53,0.00,0.00
150.22,4.63,0.00,0.00
147.44,4.49,0.00,0.00
150.01,4.49,0.00,0.00
150.26,4.40,0.00,0.00
148.83,4.80,0.00,0.00
150.17,4.44,0.00,0.00
150.23,4.48,0.00,0.00
150.00,4.41,0.00,0.00
150.26,4.69,0.00,0.00
150.05,4.49,0.00,0.00
150.35,4.57,0.00,0.00
149.95,4.63,0.00,0.00
150.37,4.48,0.00,0.00
150.11,4.57,0.00,0.00
132.61,4.09,0.00,0.00
162.33,4.78,0.00,0.00
150.20,4.69,0.00,0.00
150.31,4.49,0.00,0.00
148.87,4.34,0.00,0.00
150.10,4.43,0.00,0.00
150.10,4.45,0.00,0.00
150.06,4.35,0.00,0.00
150.52,4.70,0.00,0.00
149.91,4.50,0.00,0.00
150.26,4.43,0.00,0.00
150.15,4.48,0.00,0.00
149.93,4.50,0.00,0.00
150.24,4.40,0.00,0.00
149.90,4.34,0.00,0.00
149.07,4.52,0.00,0.00
151.27,4.41,0.00,0.00
148.90,4.48,0.00,0.00
150.08,4.57,0.00,0.00
150.27,4.58,0.00,0.00
150.19,4.55,0.00,0.00
150.02,4.55,0.00,0.00
150.23,4.48,0.00,0.00
150.10,4.58,0.00,0.00
150.38,4.57,0.00,0.00
150.07,4.48,0.00,0.00
148.88,4.57,0.00,0.00
150.12,4.41,0.00,0.00
150.19,4.58,0.00,0.00
150.10,4.38,0.00,0.00
150.15,4.57,0.00,0.00
150.15,4.63,0.00,0.00
149.94,4.41,0.00,0.00
150.35,4.56,0.00,0.00
149.97,4.47,0.00,0.00
150.31,4.55,0.00,0.00
148.96,4.42,0.00,0.00
150.10,4.45,0.00,0.00
150.41,4.65,0.00,0.00
150.10,4.48,0.00,0.00
150.28,4.49,0.00,0.00
150.07,4.45,0.00,0.00
150.26,4.65,0.00,0.00
148.88,4.50,0.00,0.00
150.10,4.57,0.00,0.00
150.25,4.63,0.00,0.00
150.23,4.79,0.00,0.00
150.25,4.27,0.00,0.00
150.01,4.50,0.00,0.00
150.29,4.49,0.00,0.00
136.69,4.07,0.00,0.00
148.87,4.47,0.00,0.00
150.06,4.39,0.00,0.00
150.41,4.50,0.00,0.00
150.16,4.49,0.00,0.00
150.54,4.57,0.00,0.00
150.03,4.51,0.00,0.00
149.12,4.58,0.00,0.00
150.29,4.41,0.00,0.00
150.03,4.47,0.00,0.00
150.22,4.57,0.00,0.00
150.22,4.57,0.00,0.00
150.36,4.48,0.00,0.00
148.76,4.59,0.00,0.00
150.47,4.66,0.00,0.00
150.27,4.55,0.00,0.00
131.41,3.90,0.00,0.00
150.22,4.71,0.00,0.00
150.40,4.40,0.00,0.00
147.66,4.65,0.00,0.00
150.19,4.64,0.00,0.00
150.37,4.48,0.00,0.00
150.11,4.50,0.00,0.00
150.54,4.64,0.00,0.00
148.91,4.48,0.00,0.00
150.13,4.41,0.00,0.00
150.35,4.42,0.00,0.00
