eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
323.15,18.77,514.07,15.99
317.55,9.79,533.27,14.83
316.35,10.29,534.90,14.47
317.15,10.20,534.30,14.69
317.45,9.77,534.01,14.61
316.63,10.09,534.37,14.52
317.03,9.89,534.16,14.61
317.60,9.76,534.29,14.55
317.78,9.77,533.44,14.81
316.34,9.93,534.81,14.74
317.64,9.64,13.39,0.37
317.43,9.38,0.00,0.00
315.89,9.73,0.00,0.00
317.52,9.68,0.00,0.00
317.20,9.49,0.00,0.00
317.12,9.53,0.00,0.00
317.81,9.63,0.00,0.00
317.31,9.59,0.00,0.00
317.13,9.29,0.00,0.00
317.17,9.41,0.00,0.00
317.08,9.43,0.00,0.00
315.94,9.55,0.00,0.00
225.61,6.62,0.00,0.00
317.61,9.80,0.00,0.00
317.37,9.35,0.00,0.00
317.57,9.46,0.00,0.00
316.03,9.22,0.00,0.00
317.46,9.52,0.00,0.00
317.14,9.17,0.00,0.00
317.61,9.37,0.00,0.00
317.62,9.75,0.00,0.00
314.77,9.43,0.00,0.00
318.89,9.33,0.00,0.00
317.12,9.43,0.00,0.00
317.60,9.41,0.00,0.00
317.29,9.36,0.00,0.00
316.12,9.64,0.07,0.00
317.39,9.43,0.00,0.00
317.69,9.34,0.00,0.00
316.41,9.39,0.00,0.00
317.47,9.34,0.00,0.00
317.71,9.43,0.00,0.00
316.23,9.44,0.00,0.00
317.42,9.61,0.00,0.00
317.85,9.44,0.00,0.00
316.24,9.44,0.00,0.00
317.65,9.38,0.00,0.00
316.32,9.43,0.00,0.00
317.43,9.36,0.00,0.00
317.85,9.29,0.00,0.00
