eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
396.97,21.13,150.04,5.95
584.19,17.49,140.43,3.93
585.49,17.37,140.59,3.82
585.52,17.18,141.65,3.87
585.30,17.12,140.83,3.92
584.34,16.81,140.34,3.79
585.44,17.20,141.59,4.14
585.17,17.21,140.19,3.90
585.34,17.05,141.62,3.96
583.86,16.88,140.92,4.05
585.91,17.47,2.72,0.08
584.96,17.62,0.00,0.00
585.62,17.06,0.00,0.00
584.90,17.13,0.00,0.00
585.12,17.65,0.00,0.00
584.05,16.90,0.00,0.00
585.86,17.21,0.00,0.00
585.56,17.19,0.00,0.00
584.36,17.24,0.00,0.00
585.72,17.04,0.00,0.00
584.95,17.15,0.00,0.00
584.44,17.25,0.00,0.00
585.73,17.18,0.00,0.00
584.26,17.28,0.00,0.00
585.88,17.10,0.00,0.00
584.11,16.96,0.00,0.00
585.37,16.96,0.00,0.00
585.90,17.16,0.00,0.00
585.08,17.36,0.00,0.00
585.13,17.09,0.00,0.00
584.94,17.18,0.00,0.00
585.25,17.13,0.00,0.00
585.07,17.05,0.00,0.00
585.03,17.08,0.00,0.00
