eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
569.29,22.05,204.60,7.46
538.75,16.77,197.45,5.92
589.34,17.28,198.42,5.45
588.81,17.37,196.41,5.50
588.36,17.24,198.46,5.52
588.70,17.38,197.26,5.51
588.78,17.31,197.14,5.61
588.52,17.23,198.02,5.31
588.52,17.23,197.49,5.58
587.68,17.10,197.81,5.56
589.65,16.98,4.07,0.07
588.60,17.01,0.00,0.00
588.71,17.24,0.00,0.00
588.65,17.13,0.00,0.00
588.31,16.87,0.00,0.00
588.81,17.07,0.00,0.00
588.70,16.97,0.00,0.00
587.81,17.14,0.00,0.00
589.42,16.93,0.00,0.00
587.95,17.10,0.00,0.00
589.39,16.87,0.00,0.00
587.91,17.00,0.00,0.00
588.47,17.21,0.00,0.00
589.31,16.98,0.00,0.00
588.69,17.28,0.00,0.00
588.47,17.15,0.00,0.00
588.26,16.90,0.00,0.00
589.02,17.11,0.00,0.00
588.48,17.02,0.00,0.00
588.96,17.04,0.00,0.00
588.51,17.10,0.00,0.00
588.73,16.80,0.00,0.00
