eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
123.98,12.26,82.09,4.13
168.09,5.79,70.23,1.97
228.34,7.20,71.52,2.10
320.94,10.17,70.26,2.04
394.43,11.69,71.17,2.09
395.60,11.73,69.91,2.02
395.19,11.38,69.98,2.09
395.37,11.85,71.28,1.90
394.44,11.75,70.37,2.04
395.71,11.66,70.20,1.92
394.26,11.63,1.36,0.07
395.92,12.07,0.00,0.00
395.30,11.76,0.00,0.00
394.14,11.55,0.00,0.00
395.67,11.72,0.00,0.00
395.65,11.78,0.00,0.00
394.44,11.75,0.00,0.00
395.89,12.07,0.00,0.00
394.63,11.96,0.00,0.00
395.63,11.79,0.00,0.00
393.95,11.90,0.00,0.00
395.51,11.71,0.00,0.00
395.61,11.37,0.00,0.00
395.48,11.94,0.00,0.00
394.24,11.91,0.00,0.00
395.43,11.67,0.00,0.00
395.80,11.65,0.00,0.00
394.34,11.65,0.00,0.00
395.79,11.92,0.00,0.00
395.38,11.57,0.00,0.00
394.00,12.07,0.00,0.00
395.55,11.62,0.00,0.00
395.83,11.50,0.00,0.00
394.23,11.85,0.00,0.00
395.92,11.49,0.00,0.00
394.02,11.48,0.00,0.00
395.43,11.54,0.00,0.00
395.37,11.60,0.00,0.00
395.84,11.80,0.00,0.00
394.14,11.48,0.00,0.00
395.31,11.44,0.00,0.00
395.88,11.70,0.00,0.00
394.10,11.57,0.00,0.00
395.56,11.63,0.00,0.00
395.87,11.71,0.00,0.00
395.10,11.65,0.00,0.00
395.06,11.65,0.00,0.00
394.35,11.71,0.00,0.00
395.28,11.74,0.00,0.00
395.79,11.79,0.00,0.00
394.93,11.76,0.00,0.00
394.75,11.70,0.00,0.00
395.85,11.71,0.00,0.00
