eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
153.15,11.72,163.06,9.83
140.77,4.16,483.72,15.60
140.69,3.88,586.26,17.47
141.46,3.79,584.47,17.60
139.95,3.96,585.09,17.39
141.31,3.90,585.02,17.27
140.65,3.80,585.81,16.80
141.58,3.95,584.96,17.06
139.62,3.92,585.05,17.34
142.03,3.97,584.99,17.44
140.72,4.52,10.64,0.29
141.05,4.40,0.00,0.00
135.14,4.12,0.00,0.00
146.32,4.64,0.00,0.00
133.90,4.05,0.00,0.00
141.86,4.27,0.00,0.00
136.77,4.54,0.00,0.00
140.81,4.28,0.00,0.00
140.52,4.27,0.00,0.00
140.73,4.18,0.00,0.00
140.69,4.19,0.00,0.00
140.88,4.52,0.00,0.00
139.47,4.27,0.00,0.00
140.88,4.44,0.00,0.00
121.85,3.61,0.00,0.00
148.71,4.48,0.00,0.00
140.70,4.18,0.00,0.00
139.32,4.28,0.00,0.00
142.09,4.29,0.00,0.00
141.00,4.49,0.00,0.00
140.61,4.28,0.00,0.00
140.84,4.20,0.00,0.00
140.78,4.48,0.00,0.00
140.75,4.25,0.00,0.00
142.00,4.28,0.00,0.00
140.73,4.37,0.07,0.00
140.73,4.28,0.00,0.00
140.70,4.28,0.00,0.00
140.86,4.35,0.00,0.00
140.77,4.20,0.00,0.00
121.67,3.77,0.00,0.00
138.23,4.35,0.00,0.00
140.75,4.28,0.00,0.00
140.71,4.08,0.00,0.00
140.73,4.21,0.00,0.00
140.84,4.41,0.00,0.00
142.14,4.34,0.00,0.00
140.57,4.36,0.00,0.00
140.88,4.43,0.00,0.00
140.83,4.27,0.00,0.00
140.74,4.19,0.00,0.00
140.73,4.19,0.00,0.00
140.82,4.22,0.00,0.00
120.23,3.68,0.00,0.00
140.92,4.21,0.00,0.00
140.71,4.20,0.00,0.00
142.15,4.27,0.00,0.00
140.61,4.43,0.00,0.00
140.80,4.35,0.00,0.00
140.76,4.34,0.00,0.00
140.77,4.35,0.00,0.00
140.84,4.33,0.07,0.00
140.72,4.18,0.00,0.00
121.79,3.86,0.00,0.00
140.75,4.23,0.00,0.00
142.09,4.29,0.00,0.00
140.69,4.18,0.00,0.00
140.66,4.36,0.00,0.00
140.66,4.21,0.00,0.00
140.77,4.28,0.00,0.00
140.85,4.41,0.00,0.00
140.82,4.36,0.00,0.00
140.78,4.25,0.00,0.00
140.71,4.19,0.00,0.00
141.98,4.20,0.00,0.00
140.80,4.26,0.00,0.00
140.66,4.27,0.00,0.00
140.72,4.29,0.00,0.00
140.61,4.14,0.00,0.00
140.72,4.20,0.00,0.00
140.77,4.27,0.00,0.00
140.48,4.21,0.00,0.00
142.20,4.35,0.00,0.00
140.84,4.36,0.00,0.00
140.88,4.27,0.00,0.00
132.71,4.20,0.00,0.00
140.85,4.28,0.00,0.00
140.79,4.43,0.00,0.00
140.75,4.29,0.00,0.00
140.90,4.28,0.00,0.00
140.82,4.26,0.00,0.00
140.87,4.34,0.00,0.00
140.88,4.36,0.00,0.00
140.88,4.20,0.00,0.00
140.72,4.36,0.00,0.00
140.80,4.16,0.00,0.00
140.74,4.29,0.00,0.00
140.90,4.19,0.00,0.00
140.90,4.35,0.00,0.00
140.90,4.28,0.00,0.00
140.69,4.28,0.00,0.00
140.96,4.19,0.00,0.00
140.80,4.25,0.00,0.00
140.75,4.11,0.00,0.00
140.85,4.27,0.00,0.00
140.84,4.18,0.00,0.00
142.05,4.26,0.00,0.00
140.92,4.28,0.00,0.00
140.83,4.26,0.00,0.00
139.59,4.26,0.00,0.00
142.18,4.35,0.00,0.00
139.71,4.29,0.00,0.00
142.04,4.26,0.07,0.00
