eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
418.57,11.57,264.88,11.50
408.95,18.85,255.41,12.79
408.93,19.52,215.54,10.11
410.48,19.58,255.44,12.91
408.94,22.76,255.40,12.92
408.94,18.60,253.93,12.31
410.54,12.86,255.48,10.31
408.94,11.85,214.07,7.57
409.03,9.96,255.46,9.46
409.12,10.03,254.04,8.37
410.60,9.96,255.52,10.82
408.94,11.75,253.92,8.39
408.93,9.96,255.40,9.42
409.14,11.40,255.53,8.25
410.70,10.04,254.10,8.50
408.94,12.38,255.40,9.37
408.90,10.03,253.90,8.36
410.42,11.30,255.41,9.67
409.36,9.97,255.66,7.77
408.92,10.03,253.91,10.44
408.93,9.96,255.40,9.40
410.47,11.58,253.96,9.72
408.89,10.03,255.37,11.46
408.93,9.96,255.40,9.20
410.45,10.03,253.95,9.00
408.94,11.67,255.40,10.31
409.27,9.97,255.61,8.89
408.93,10.03,253.92,11.83
410.48,9.96,255.44,11.38
409.00,10.03,253.97,10.65
409.09,10.03,214.15,7.29
408.89,9.96,253.89,9.17
