eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
403.40,19.94,84.12,4.56
395.67,19.62,69.39,3.57
394.19,11.30,70.87,3.15
395.64,14.96,70.86,2.36
395.62,15.49,70.86,2.98
394.17,16.12,69.39,1.74
395.69,15.92,70.87,2.42
395.60,18.09,70.85,2.69
394.17,16.20,70.86,2.24
396.05,14.72,70.93,1.73
394.17,15.94,69.39,1.73
395.65,16.98,70.86,2.28
395.68,14.49,63.49,2.59
394.17,14.25,70.86,3.02
395.66,18.00,70.86,1.88
394.17,16.32,69.39,2.06
339.54,12.58,70.86,2.79
380.88,14.86,70.86,3.12
326.23,14.70,70.86,1.73
394.17,15.30,70.86,1.80
392.73,17.76,69.39,3.05
168.30,8.25,70.86,2.43
406.02,18.67,70.87,1.73
323.32,11.79,70.86,2.43
395.62,15.36,69.38,1.98
394.44,15.95,70.91,3.15
395.66,15.63,70.86,2.64
395.65,13.57,70.86,3.64
394.16,15.72,70.86,3.38
330.81,14.13,69.41,2.43
394.17,14.26,70.86,2.00
394.16,15.31,70.86,3.12
324.79,12.22,70.86,2.98
395.64,16.31,70.86,2.57
395.74,14.55,69.40,3.51
394.24,14.67,70.87,2.57
395.67,16.37,70.87,1.80
394.20,16.30,70.87,3.26
395.71,15.31,70.87,3.05
395.65,14.14,69.39,2.57
394.17,14.50,70.86,2.62
395.66,15.57,70.86,2.24
395.82,16.17,70.89,2.91
394.40,13.34,69.43,1.82
395.66,13.47,70.86,3.49
394.16,14.28,70.86,2.93
