eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
551.99,25.49,208.38,10.35
549.17,16.27,219.96,7.88
549.18,17.43,172.73,7.95
549.58,15.70,234.90,10.78
549.13,19.82,234.71,7.89
549.16,16.99,234.72,10.26
547.71,15.46,234.73,7.32
549.34,17.78,234.80,10.70
549.19,15.38,191.92,7.88
549.18,15.76,245.06,9.43
549.18,15.67,147.63,5.63
468.01,17.20,131.40,6.18
530.19,17.22,203.81,8.05
549.14,18.85,193.38,8.39
549.16,17.85,200.77,9.36
549.19,19.66,234.73,8.27
549.16,15.47,231.77,8.83
549.74,16.46,76.85,2.56
549.17,18.91,246.53,12.20
549.10,20.82,234.69,7.88
547.68,19.23,202.24,9.55
549.12,15.49,231.75,9.68
549.17,16.86,233.25,8.59
549.24,17.34,234.75,10.62
549.34,17.27,234.80,10.51
549.78,17.13,234.99,8.97
549.07,17.39,234.68,10.08
549.17,18.73,234.72,9.43
