eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
129.71,7.55,600.34,25.07
118.10,5.33,594.94,35.19
116.63,4.90,594.96,29.77
118.11,6.16,594.97,31.12
116.63,5.83,594.99,30.27
116.62,4.26,594.93,17.41
107.77,4.50,594.95,17.59
118.11,3.89,594.98,16.92
116.66,4.50,595.13,17.53
116.60,3.78,594.83,15.28
118.12,4.10,595.01,17.40
116.64,4.14,595.02,15.85
118.11,3.96,594.96,18.94
116.62,5.11,594.89,17.46
118.11,5.50,594.97,16.65
116.59,5.34,594.75,16.92
62.00,2.46,594.95,16.63
106.29,4.07,594.94,18.29
118.10,5.21,594.93,17.17
100.41,4.63,595.05,14.58
116.63,5.37,594.94,16.14
118.10,3.97,594.94,17.66
116.62,3.97,594.92,18.01
104.82,4.77,594.96,14.58
116.64,3.73,594.99,14.50
118.10,3.29,594.94,19.13
116.63,4.24,594.96,15.74
118.10,4.81,594.94,17.22
116.63,4.21,594.95,16.32
85.62,2.93,594.94,17.32
