eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
576.58,27.19,283.88,14.65
550.64,22.26,273.11,10.23
485.70,17.89,274.59,11.58
571.35,20.33,188.98,6.79
376.50,16.05,243.62,8.38
419.24,16.16,245.05,10.07
571.32,18.29,274.59,10.00
478.28,18.98,267.19,10.97
556.59,22.08,236.22,10.24
571.74,23.42,273.31,11.18
469.48,16.14,274.60,8.72
515.23,20.47,273.12,9.78
519.67,19.29,274.60,9.89
563.92,22.75,243.58,10.72
529.98,18.11,222.92,9.06
569.92,22.34,274.62,9.73
571.36,22.80,273.13,10.07
363.20,14.63,233.27,10.08
571.41,20.71,274.63,11.01
569.85,23.06,273.11,11.79
571.36,24.29,274.61,11.22
570.28,21.46,273.32,11.22
571.35,23.02,181.59,6.80
345.45,15.96,265.73,10.69
516.81,21.18,274.65,11.35
54.62,2.83,273.09,9.78
569.84,21.54,273.11,9.53
