eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
287.56,13.77,411.46,19.81
277.58,7.85,333.68,11.06
277.55,9.34,403.04,13.98
277.57,9.15,404.54,14.74
276.07,8.44,404.51,15.76
277.55,9.29,404.51,15.00
277.52,8.21,402.99,17.00
277.55,8.03,404.51,15.29
277.55,8.97,404.51,15.49
277.57,11.10,404.55,17.94
277.57,9.36,404.54,16.64
277.51,9.47,402.99,15.47
276.26,9.92,404.79,15.13
277.67,7.07,404.70,14.68
277.54,10.43,403.02,13.50
277.54,10.00,404.49,15.39
277.56,8.37,404.53,14.28
276.09,9.08,404.54,16.02
277.56,7.93,403.05,14.94
277.54,7.29,404.50,15.74
277.54,8.04,404.50,14.50
277.74,9.88,404.79,15.01
277.68,6.71,403.22,16.59
276.07,8.52,404.51,18.84
277.60,9.82,333.70,13.79
277.54,9.13,403.02,16.93
277.54,8.37,404.51,16.17
277.56,9.14,404.52,14.82
277.70,6.79,404.74,14.54
276.08,10.07,336.62,14.19
277.64,10.63,404.65,17.02
