eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
107.46,4.29,449.28,21.76
94.49,4.19,442.91,22.73
94.56,4.22,443.27,17.56
93.04,5.58,443.07,21.10
94.48,4.49,419.26,19.71
94.57,4.62,443.29,22.84
94.48,5.17,442.86,22.66
94.48,4.62,441.41,21.75
94.49,2.31,442.92,15.87
94.48,3.84,442.89,19.55
94.49,3.08,442.90,20.77
94.49,2.31,442.90,18.78
94.48,2.31,442.89,16.61
94.49,3.48,442.91,17.54
93.05,2.31,443.09,17.11
94.47,2.31,442.85,16.67
94.48,3.27,441.40,17.45
94.47,3.02,367.56,14.66
94.48,3.96,436.98,17.13
94.52,3.92,363.30,16.03
94.47,2.39,442.82,17.10
94.47,3.69,441.36,18.84
94.48,2.31,442.89,16.30
94.48,2.31,442.88,16.38
94.58,2.31,443.32,15.96
93.01,2.31,442.89,19.53
94.52,2.31,443.08,18.31
94.49,2.31,441.47,15.67
94.49,2.31,442.91,16.57
94.48,2.31,442.89,16.91
94.49,2.31,366.13,17.17
94.48,2.31,441.38,15.32
94.48,3.30,442.89,15.15
94.48,3.59,442.86,16.99
94.48,2.79,442.89,16.39
94.57,2.60,443.31,17.22
93.06,3.08,443.13,17.04
94.48,3.01,442.87,17.64
94.48,2.31,441.41,17.59
94.56,2.31,443.27,16.53
