eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
575.67,30.23,282.69,14.59
571.29,22.44,274.57,11.59
465.06,19.11,273.13,11.01
571.34,19.98,274.60,12.45
569.87,24.02,273.13,11.79
468.51,18.44,274.90,11.79
569.88,24.42,273.13,11.37
508.23,20.28,230.48,9.50
569.89,19.90,273.13,10.37
571.42,19.38,274.64,10.62
569.84,22.81,273.11,10.55
571.45,21.66,273.17,9.24
569.86,22.01,271.64,9.96
571.47,21.18,274.66,11.82
569.84,23.10,273.11,8.88
571.56,21.47,236.30,10.31
465.03,16.66,231.78,9.57
571.89,21.72,274.86,12.36
569.86,21.78,107.77,5.44
571.33,21.24,242.11,9.43
466.51,15.19,273.11,10.20
569.85,21.76,274.59,11.01
493.09,19.69,273.12,10.92
546.59,19.60,274.77,10.49
569.89,21.35,273.13,9.34
347.14,15.22,273.28,9.63
