eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
441.98,17.57,324.82,15.85
434.05,18.78,314.46,14.72
434.03,11.85,315.93,8.80
434.04,14.34,315.93,9.67
434.03,13.26,314.45,9.57
434.04,13.25,315.94,9.83
435.46,13.47,315.89,10.04
434.05,14.66,314.47,9.47
434.04,12.37,315.93,9.64
434.08,12.47,315.96,9.41
434.07,11.87,314.48,8.61
434.03,12.41,315.93,8.61
433.99,13.62,314.42,11.17
434.03,13.16,315.92,10.18
435.45,13.63,315.89,10.97
434.07,12.98,315.96,9.40
434.32,13.64,314.66,10.34
434.06,13.82,315.95,10.54
434.31,11.56,314.65,11.57
434.19,15.37,316.04,12.27
434.20,14.25,314.57,10.51
434.26,12.46,316.09,11.67
434.07,14.37,315.96,8.53
434.29,12.52,314.64,10.10
434.28,15.22,316.11,11.57
434.13,15.52,314.52,10.65
434.20,12.48,316.05,10.29
434.20,12.57,314.58,8.89
