eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
585.74,25.13,336.53,13.64
579.15,19.59,326.51,10.70
579.25,20.91,326.57,9.52
578.73,20.04,326.27,11.88
578.73,17.32,326.28,12.40
578.66,16.98,326.23,11.35
580.22,17.14,326.28,11.25
579.26,17.68,326.57,11.45
579.17,17.53,326.52,11.87
579.01,20.88,273.26,11.26
579.16,16.97,326.52,10.84
578.74,22.17,326.28,13.03
578.71,18.12,273.12,8.98
578.73,21.84,326.27,10.81
580.15,18.55,326.24,10.53
578.72,17.97,323.32,11.47
578.70,19.00,326.26,9.84
578.65,17.98,326.23,7.94
580.33,21.48,327.82,11.80
578.81,19.95,326.32,13.37
578.70,18.70,326.26,12.52
578.72,18.98,326.27,11.95
580.18,17.88,326.26,12.39
