eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
301.21,16.60,107.10,7.08
115.01,4.79,99.51,2.27
398.94,12.22,142.49,3.96
399.01,11.91,141.11,3.90
398.45,12.22,141.71,4.09
400.10,11.90,141.68,3.89
398.38,11.64,141.62,3.89
399.49,11.92,141.68,3.82
399.73,11.82,141.75,3.99
398.40,11.84,141.42,3.90
400.06,11.89,141.35,3.99
398.81,11.81,141.81,3.98
398.36,11.62,141.22,3.90
399.85,11.90,141.99,4.03
399.47,11.62,141.97,4.09
399.28,11.71,140.64,3.97
398.66,12.10,142.66,3.92
399.44,12.11,141.10,3.90
398.49,11.66,141.52,3.98
399.38,11.94,142.32,4.05
399.78,11.89,140.61,3.98
398.24,11.70,141.52,3.81
400.03,11.78,141.62,3.89
398.14,11.76,141.68,3.90
400.41,11.86,142.11,4.08
398.67,12.14,141.57,3.97
398.63,11.80,141.25,3.99
400.24,11.66,142.36,3.85
398.56,11.89,141.73,3.96
399.11,11.91,141.61,3.88
399.28,11.51,140.61,4.05
399.68,11.89,141.80,4.00
397.96,11.87,142.11,3.96
400.13,11.98,140.77,3.90
398.51,11.93,141.81,3.89
400.08,11.65,141.71,4.07
398.37,11.61,141.73,3.99
399.75,11.73,142.31,4.05
399.16,11.98,141.57,3.88
399.10,11.74,141.64,3.89
