eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
299.46,15.86,117.33,5.95
464.89,14.98,108.12,3.28
587.52,17.31,106.57,2.99
588.97,17.19,107.32,2.91
587.42,17.73,108.18,3.19
587.96,17.25,106.64,2.99
588.32,17.57,107.12,2.97
587.31,17.33,107.96,2.95
588.22,17.33,106.66,2.94
588.44,17.47,108.46,2.95
587.37,17.26,106.43,3.10
588.21,17.40,107.94,2.93
588.81,17.18,106.94,2.87
587.93,17.34,107.85,3.10
588.15,17.32,107.11,2.94
587.11,17.20,106.63,2.85
588.46,17.24,107.99,3.10
587.56,17.22,106.38,3.03
588.64,17.49,108.34,2.99
588.32,17.34,106.85,2.90
586.78,17.00,106.79,2.95
588.24,17.72,107.88,2.92
588.69,17.52,106.91,2.87
588.35,17.49,107.44,2.92
587.58,17.27,107.61,3.11
588.50,17.39,107.42,3.04
587.65,17.11,107.20,2.93
588.08,17.44,107.44,2.89
587.09,17.09,106.83,2.97
589.10,17.29,107.02,2.95
565.70,17.13,107.66,2.91
