eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
84.07,12.19,128.55,6.97
150.04,4.82,522.66,16.27
150.52,4.26,544.06,16.47
149.85,4.21,543.85,16.54
149.92,4.25,542.75,15.84
150.05,4.09,543.92,16.61
149.74,4.19,544.27,16.17
149.98,4.34,544.66,16.21
150.98,4.12,543.07,16.04
148.81,4.29,543.95,16.27
150.04,4.13,545.04,16.16
151.24,4.10,542.90,16.21
149.50,4.12,544.56,16.31
149.61,4.03,544.48,16.45
150.76,4.22,543.02,16.27
148.98,4.19,543.72,15.96
151.28,4.15,544.32,16.51
150.02,4.16,543.73,16.10
150.03,4.19,544.26,16.36
149.90,4.18,544.58,16.37
150.13,4.14,542.82,16.42
148.76,4.20,545.03,16.00
151.29,4.21,542.72,16.15
149.56,4.21,544.93,16.27
149.92,4.10,544.18,16.40
149.96,4.22,543.98,15.95
150.63,4.10,543.00,16.36
150.06,4.01,544.80,16.19
149.52,4.17,543.48,16.39
149.42,4.00,544.06,16.27
151.12,4.23,543.94,16.29
