eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
460.89,21.34,274.62,10.99
534.10,14.66,316.93,10.18
533.08,14.75,317.71,10.04
534.71,14.82,317.22,9.82
534.90,14.38,316.70,9.91
533.16,14.73,318.07,9.94
534.88,14.43,315.98,10.05
534.02,14.61,317.85,9.66
533.67,14.45,316.98,10.16
534.30,14.53,317.79,10.12
534.82,14.73,317.01,10.09
534.33,14.47,316.12,9.95
534.11,14.78,318.35,9.74
534.22,14.72,316.68,9.84
534.02,14.66,317.04,9.99
534.32,14.46,316.73,9.93
532.97,14.70,317.99,9.78
534.21,14.89,317.08,9.67
535.42,14.70,316.96,10.02
534.13,14.53,316.30,10.26
533.40,14.41,317.19,10.12
534.89,14.73,318.28,9.78
533.89,14.83,316.92,9.79
534.56,14.42,316.23,9.66
498.53,13.92,295.40,9.16
