eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
443.31,22.41,277.30,10.10
570.89,17.12,273.76,5.90
570.47,17.15,274.93,7.56
570.24,16.75,273.48,7.73
571.20,17.20,273.62,8.01
570.75,17.02,273.03,7.55
570.73,17.33,274.37,7.56
570.36,17.20,274.22,7.58
570.80,16.91,273.98,7.71
569.85,17.10,272.60,7.59
571.34,16.93,274.25,7.68
569.86,16.77,274.04,7.57
570.76,17.21,274.06,7.56
570.73,17.05,273.86,7.74
570.61,16.85,273.33,7.58
571.68,17.37,274.32,7.49
570.47,17.24,273.08,7.75
570.90,16.91,274.16,7.74
570.62,17.03,273.97,7.66
570.71,16.86,273.98,7.71
569.64,17.24,272.97,7.36
571.55,16.84,274.91,7.67
570.28,17.02,272.77,7.70
570.22,17.05,274.42,7.73
570.71,17.10,273.29,7.61
