eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
477.18,22.64,268.24,13.85
474.94,13.87,365.46,11.06
475.00,14.60,364.20,10.42
475.18,14.59,363.60,10.40
474.80,14.45,364.94,10.32
476.23,14.58,363.60,10.05
475.24,13.42,364.78,11.13
475.24,13.98,363.23,10.54
475.18,13.55,365.27,11.13
474.83,13.10,364.40,11.41
475.23,14.77,364.23,10.30
475.52,14.56,363.10,10.20
474.34,14.52,365.42,10.02
475.23,14.53,363.16,10.39
476.10,14.26,364.37,10.46
474.39,14.44,365.32,10.10
475.77,14.47,364.14,10.10
474.47,14.39,364.25,10.06
476.12,14.28,363.12,10.10
474.58,14.37,364.95,10.27
475.94,14.18,364.75,10.33
475.01,14.16,364.32,10.12
475.59,14.46,364.19,10.26
474.84,14.40,363.45,10.32
475.56,14.21,364.21,10.49
