eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
328.19,17.85,419.05,12.29
323.38,9.34,420.16,12.38
324.32,9.62,420.60,11.81
323.83,9.93,421.91,11.48
323.91,10.26,419.97,11.72
323.74,10.02,421.79,11.63
324.50,10.08,420.16,11.26
323.26,9.98,420.41,11.50
323.86,9.91,421.69,11.64
323.72,10.01,421.40,11.40
324.08,10.15,420.86,11.42
323.74,9.96,420.94,11.56
324.58,9.97,420.64,11.44
323.52,9.95,421.04,11.74
323.40,9.91,419.97,11.45
323.46,9.88,421.99,11.57
324.15,9.95,420.87,11.62
323.95,9.84,419.75,11.40
323.76,10.08,421.80,11.82
323.89,9.72,421.11,11.46
324.05,10.17,419.76,11.51
323.69,10.11,422.00,11.37
323.47,9.94,420.26,11.60
323.73,10.01,420.39,11.29
324.65,10.18,422.05,11.42
323.58,10.14,420.02,11.37
324.58,9.90,420.56,11.61
323.78,10.18,421.18,11.43
