eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
321.04,16.90,131.05,6.45
456.71,12.61,120.97,4.38
462.35,12.69,119.84,3.89
461.60,12.70,121.22,3.99
462.93,12.69,120.67,3.78
462.08,12.67,121.21,3.71
462.33,12.86,121.07,3.84
461.58,12.70,119.98,4.09
462.33,12.76,120.89,3.91
463.12,12.87,121.82,3.55
461.45,12.47,120.50,3.90
462.16,12.90,120.67,4.01
462.93,12.78,120.97,3.93
461.69,12.60,121.50,3.86
463.13,12.59,120.54,4.09
461.19,12.94,120.38,3.84
462.37,12.91,120.83,3.83
463.25,13.29,121.64,3.83
462.32,13.52,120.59,3.37
461.50,13.47,120.13,3.29
463.07,13.47,121.27,3.37
461.22,13.40,120.37,3.28
462.16,13.48,120.87,3.41
462.77,13.43,121.74,3.40
462.96,13.41,120.33,3.45
461.05,13.53,120.16,3.29
463.39,13.44,121.36,3.58
461.89,13.45,121.65,3.41
462.81,13.58,120.18,3.39
462.31,13.35,120.74,3.37
461.90,13.56,120.51,3.29
462.72,13.55,121.01,3.37
460.92,13.48,121.19,3.31
463.18,13.38,120.49,3.22
461.96,13.76,120.66,3.27
462.79,13.50,121.49,3.38
