eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
517.38,24.39,319.69,11.31
533.87,15.79,317.56,9.05
533.96,16.05,317.59,8.86
534.81,15.69,317.23,8.96
534.09,15.82,316.05,8.76
534.14,15.51,318.11,8.88
533.94,15.86,317.33,8.84
534.50,15.61,316.78,8.73
533.36,15.80,316.90,8.74
534.47,15.76,317.21,8.81
534.75,15.75,317.40,8.69
534.10,15.69,317.24,8.90
534.24,15.52,316.11,8.81
533.85,15.76,317.49,8.84
534.34,15.84,316.75,8.78
533.94,15.77,318.39,8.71
533.97,15.78,317.16,8.75
534.35,15.73,317.15,8.81
534.31,15.88,316.85,8.82
534.60,15.80,316.37,8.82
533.46,15.97,317.21,8.79
533.86,15.57,318.12,8.71
535.09,15.82,316.43,8.98
534.17,15.72,317.30,9.05
