eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
213.27,15.76,169.86,6.73
502.26,15.62,339.58,9.52
502.55,15.24,338.19,9.51
501.41,15.42,339.11,9.43
502.69,15.28,338.60,9.51
502.19,15.15,337.44,9.10
501.81,15.42,339.73,9.21
502.39,14.99,338.27,9.16
502.46,15.22,339.04,9.39
502.87,15.52,338.64,9.22
501.34,15.17,338.66,9.31
502.88,15.16,338.62,9.25
501.77,14.97,337.87,9.35
502.41,14.67,338.51,9.18
502.27,15.24,339.48,9.32
502.45,15.17,338.64,9.32
501.32,14.82,338.47,9.35
503.14,15.55,338.47,9.26
502.14,15.03,337.85,9.23
502.07,15.23,338.72,9.37
501.98,15.04,339.37,9.37
502.50,15.27,338.12,9.21
502.21,15.50,338.49,9.48
501.23,15.29,339.44,9.39
502.57,15.10,337.74,9.51
