eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
129.91,11.49,319.60,12.64
116.91,3.46,594.63,17.44
117.60,3.27,595.09,17.27
116.73,3.32,595.25,17.30
117.19,3.25,593.98,17.16
117.72,3.24,596.00,17.08
116.75,3.21,594.97,17.27
118.09,3.32,594.51,17.44
117.54,3.36,595.22,17.20
116.51,3.33,594.53,17.23
117.02,3.24,595.61,17.24
117.27,3.33,595.01,17.13
117.72,3.34,594.91,17.15
118.12,3.24,594.27,17.42
116.29,3.24,594.77,17.38
117.92,3.23,595.86,17.22
117.24,3.17,595.07,17.27
117.71,3.49,594.97,17.50
117.18,3.22,594.97,17.27
116.62,3.26,594.31,17.30
118.28,3.35,595.68,17.15
116.64,3.21,594.91,17.35
117.71,3.27,594.92,17.27
117.22,3.36,595.07,17.45
116.85,3.17,594.69,17.34
117.92,3.43,594.93,17.18
116.86,3.23,595.05,17.20
117.41,3.23,594.57,17.52
117.25,3.31,595.57,17.10
117.25,3.31,594.82,17.24
