eth0-in,eth0-out,eth1-in,eth1-out
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
401.72,20.82,277.67,11.36
403.27,12.53,276.96,7.71
403.86,12.55,277.59,7.50
405.34,12.46,277.67,7.64
403.13,12.53,277.30,7.60
404.32,12.40,277.32,7.62
405.07,12.67,277.75,7.71
403.92,12.28,277.20,7.78
403.59,12.60,277.69,7.61
404.95,12.52,276.69,7.64
403.27,12.52,277.25,7.61
405.05,12.36,276.91,7.53
403.62,12.59,278.51,7.67
404.25,12.28,276.32,7.48
404.63,12.57,277.84,7.53
403.34,12.30,277.30,7.67
405.00,12.55,277.34,7.54
403.44,12.34,277.01,7.62
404.27,12.26,277.54,7.59
404.23,12.16,278.10,7.66
404.77,12.38,276.39,7.65
404.00,12.62,277.92,7.56
403.55,12.29,276.90,7.53
404.17,12.68,277.96,7.59
403.93,12.61,276.53,7.74
404.97,12.82,277.22,7.52
403.51,12.79,277.25,7.64
405.08,12.34,277.37,7.67
403.12,12.51,277.44,7.58
404.43,12.43,277.97,7.52
404.01,12.90,277.22,7.57
